Algorithm,Baseline,originalTitle,originalCategory,Arts,Humanities,Technology,Health,Law,Education,Entertainment,Business,Science,Mathematics,World,Society,Language,Life,Nature,Sports,Politics,Religion,Philosophy,People,Concepts,History,Events,Universe,Reference,Geography,Culture
LSI,BigBaseline02,5×5=25,Arts,0.8606674671173096,0.16035953164100647,0.22006270289421082,0.06663678586483002,0.07522261142730713,0.04340429604053497,0.2478366196155548,0.112115278840065,0.1353747546672821,0.08123601227998734,0.2352142482995987,0.14037176966667175,0.0495983362197876,0.3109164834022522,0.15311455726623535,0.07703106850385666,0.12167832255363464,0.11701030284166336,0.10519210994243622,0.15180480480194092,0.11468517780303955,0.17711251974105835,0.23366238176822662,0.059067755937576294,0.06787852197885513,0.16156449913978577,0.19778627157211304
LSI,BigBaseline02,Art world,Arts,0.3314709961414337,0.3483297526836395,0.31941837072372437,0.23737600445747375,0.30316925048828125,0.2476782202720642,0.26964977383613586,0.30060434341430664,0.3287389874458313,0.13893859088420868,0.22660745680332184,0.46248891949653625,0.16997842490673065,0.4465082287788391,0.19046629965305328,0.13991665840148926,0.8035973310470581,0.23269061744213104,0.6442942023277283,0.3126305043697357,0.33432984352111816,0.3489903509616852,0.303803414106369,0.1938847303390503,0.31319740414619446,0.219941645860672,0.3795939087867737
LSI,BigBaseline02,Biomechanical art,Arts,0.5229713916778564,0.5360276699066162,0.7876143455505371,0.40602946281433105,0.30579718947410583,0.29183536767959595,0.41465863585472107,0.32277005910873413,0.47034695744514465,0.2512727677822113,0.26592886447906494,0.5065000057220459,0.2498795986175537,0.5528938174247742,0.38096317648887634,0.3108316659927368,0.23600150644779205,0.3309818208217621,0.3449350893497467,0.3673281967639923,0.49523845314979553,0.5979138016700745,0.36602872610092163,0.16762232780456543,0.16270698606967926,0.32184678316116333,0.575362503528595
LSI,BigBaseline02,Book restoration,Arts,0.33016330003738403,0.2629595696926117,0.3086405396461487,0.28923067450523376,0.14135213196277618,0.16295287013053894,0.2572988271713257,0.39018669724464417,0.7235294580459595,0.11118296533823013,0.41724756360054016,0.4286152422428131,0.13750874996185303,0.30461084842681885,0.6622941493988037,0.15875497460365295,0.20665475726127625,0.2031031847000122,0.18575206398963928,0.22470614314079285,0.20745480060577393,0.34175747632980347,0.5755563974380493,0.18138746917247772,0.14853355288505554,0.3425127863883972,0.3394169509410858
LSI,BigBaseline02,Etching revival,Arts,0.8695415258407593,0.17565950751304626,0.15247194468975067,0.08462366461753845,0.06410941481590271,0.08460578322410583,0.16369140148162842,0.12760929763317108,0.15314318239688873,0.09312079846858978,0.09797307103872299,0.11388735473155975,0.14829060435295105,0.12913309037685394,0.14781774580478668,0.04438275843858719,0.04932713508605957,0.17250704765319824,0.13557010889053345,0.14744633436203003,0.11690408736467361,0.12728090584278107,0.11633704602718353,0.04906821995973587,0.0935271605849266,0.11912129074335098,0.17457716166973114
LSI,BigBaseline02,Gorgona Group,Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSI,BigBaseline02,Ifrit,Arts,0.633527398109436,0.5177391171455383,0.2662449777126312,0.29661327600479126,0.4389975070953369,0.1787468045949936,0.4719650447368622,0.24885278940200806,0.4162464737892151,0.10006201267242432,0.336442768573761,0.5052944421768188,0.24221372604370117,0.44481202960014343,0.3894142806529999,0.14802119135856628,0.31796982884407043,0.8120752573013306,0.45082318782806396,0.6019274592399597,0.28144222497940063,0.6682626605033875,0.3816377818584442,0.13400787115097046,0.2532491981983185,0.4393298625946045,0.6008459329605103
LSI,BigBaseline02,Juan Tamad,Arts,0.8635969161987305,0.6830733418464661,0.2680494785308838,0.19154784083366394,0.1962953805923462,0.195681631565094,0.6927353143692017,0.19158495962619781,0.35799071192741394,0.16421368718147278,0.20444944500923157,0.48101815581321716,0.24744895100593567,0.3646114468574524,0.24802789092063904,0.17444954812526703,0.22815170884132385,0.3708142042160034,0.27042004466056824,0.6076006293296814,0.2172829657793045,0.5398126840591431,0.38494184613227844,0.07148777693510056,0.19040405750274658,0.33413130044937134,0.6283223032951355
LSI,BigBaseline02,Justify My Love,Arts,0.7702338099479675,0.6647090911865234,0.4056049883365631,0.28682786226272583,0.2580917775630951,0.26006489992141724,0.7609785199165344,0.2519887387752533,0.32835686206817627,0.1236971989274025,0.3451941907405853,0.6295746564865112,0.3146595060825348,0.6177186965942383,0.22167569398880005,0.2361503541469574,0.24476271867752075,0.2923642098903656,0.2466280162334442,0.4228030741214752,0.23735369741916656,0.4372725188732147,0.5081340670585632,0.08933651447296143,0.19431987404823303,0.26867300271987915,0.6516441106796265
LSI,BigBaseline02,List of cultural conservation-restoration organizations,Arts,0.3781083822250366,0.5212271809577942,0.5775998830795288,0.46685147285461426,0.5125935673713684,0.7935174703598022,0.3544774055480957,0.5298599004745483,0.6037063002586365,0.14615166187286377,0.23262633383274078,0.7308657765388489,0.29688388109207153,0.35242974758148193,0.19162650406360626,0.32827162742614746,0.41620612144470215,0.3976505398750305,0.3025747537612915,0.4124593138694763,0.31595873832702637,0.4610775411128998,0.33891499042510986,0.07084233313798904,0.2030150294303894,0.30666202306747437,0.49618130922317505
